movie_id,movie_title,release_date,release_year,budget,revenue,profit,popularity
2,Ariel,1988-10-21,1988,0,0,0,3.860491
3,Shadows in Paradise,1986-10-16,1986,0,0,0,2.29211
5,Four Rooms,1995-12-09,1995,4000000,4300000,300000,9.026586
6,Judgment Night,1993-10-15,1993,0,12136938,12136938,5.538671
11,Star Wars,1977-05-25,1977,11000000,775398007,764398007,42.149697
12,Finding Nemo,2003-05-30,2003,94000000,940335536,846335536,25.497794
13,Forrest Gump,1994-07-06,1994,55000000,677945399,622945399,48.307194
14,American Beauty,1999-09-15,1999,15000000,356296601,341296601,20.726578
15,Citizen Kane,1941-04-30,1941,839727,23217674,22377947,15.811921
16,Dancer in the Dark,2000-05-17,2000,12800000,40031879,27231879,10.684806
17,The Dark,2006-01-26,2006,0,0,0,5.691508
18,The Fifth Element,1997-05-07,1997,90000000,263920180,173920180,24.30526
19,Metropolis,1927-01-10,1927,92620000,650422,-91969578,14.487867
20,My Life Without Me,2003-03-07,2003,0,9726954,9726954,10.310508
21,The Endless Summer,1966-06-15,1966,0,0,0,1.378819
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,2003,140000000,655011224,515011224,47.326665
24,Kill Bill: Vol. 1,2003-10-10,2003,30000000,180949000,150949000,25.261865
25,Jarhead,2005-11-04,2005,72000000,96889998,24889998,9.997032
26,Walk on Water,2004-02-05,2004,1400000,0,-1400000,1.709996
27,9 Songs,2004-07-16,2004,1000000,1574623,574623,18.847707
28,Apocalypse Now,1979-08-15,1979,31500000,89460381,57960381,13.5963
30,Magnetic Rose,1995-12-23,1995,0,0,0,0.987992
33,Unforgiven,1992-08-07,1992,14000000,159157447,145157447,10.942149
35,The Simpsons Movie,2007-07-25,2007,75000000,527068851,452068851,14.302911
38,Eternal Sunshine of the Spotless Mind,2004-03-19,2004,20000000,72258126,52258126,12.906327
55,Amores perros,2000-06-16,2000,2000000,20908467,18908467,5.958138
58,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,2006,200000000,1065659812,865659812,29.455314
59,A History of Violence,2005-09-23,2005,32000000,60740827,28740827,11.119707
62,2001: A Space Odyssey,1968-04-10,1968,10500000,68700000,58200000,22.494622
63,Twelve Monkeys,1995-12-29,1995,29500000,168840000,139340000,12.297305
64,Talk to Her,2002-03-14,2002,9285469,51001550,41716081,6.648278
65,8 Mile,2002-11-08,2002,41000000,215000000,174000000,8.374355
66,Absolute Power,1997-02-14,1997,50000000,50068310,68310,7.66124
67,Paradise Now,2005-02-14,2005,0,3357075,3357075,3.714186
68,Brazil,1985-02-20,1985,15000000,0,-15000000,9.837287
69,Walk the Line,2005-09-13,2005,28000000,186438883,158438883,11.476443
70,Million Dollar Baby,2004-12-15,2004,30000000,216763646,186763646,14.471373
71,Billy Elliot,2000-05-18,2000,5000000,110000000,105000000,12.158424
73,American History X,1998-10-30,1998,20000000,23875127,3875127,18.157166
74,War of the Worlds,2005-06-28,2005,132000000,591739379,459739379,19.929377
75,Mars Attacks!,1996-12-12,1996,70000000,101371017,31371017,15.63424
76,Before Sunrise,1995-01-27,1995,2500000,5535405,3035405,11.304979
77,Memento,2000-10-11,2000,9000000,39723096,30723096,15.450789
78,Blade Runner,1982-06-25,1982,28000000,33139618,5139618,96.272374
79,Hero,2002-12-19,2002,31000000,177394432,146394432,9.861765
80,Before Sunset,2004-02-10,2004,2700000,15992615,13292615,7.048957
81,Nausicaä of the Valley of the Wind,1984-03-11,1984,1000000,3301446,2301446,11.267366
82,Miami Vice,2006-07-27,2006,135000000,163794509,28794509,11.72545
83,Open Water,2004-08-06,2004,130000,54667954,54537954,10.652818
85,Raiders of the Lost Ark,1981-06-12,1981,18000000,389925971,371925971,19.901576
86,The Elementary Particles,2006-02-10,2006,6000000,0,-6000000,11.552537
87,Indiana Jones and the Temple of Doom,1984-05-23,1984,28000000,333000000,305000000,15.802306
88,Dirty Dancing,1987-08-21,1987,6000000,213954274,207954274,14.044122
89,Indiana Jones and the Last Crusade,1989-05-24,1989,48000000,474171806,426171806,14.788987
90,Beverly Hills Cop,1984-11-29,1984,15000000,316360478,301360478,8.503483
91,Land Without Bread,1933-12-01,1933,20000,0,-20000,2.475972
92,Megacities,1998-08-12,1998,0,0,0,0.406137
93,Anatomy of a Murder,1959-07-01,1959,0,0,0,9.473772
95,Armageddon,1998-07-01,1998,140000000,553799566,413799566,13.235112
96,Beverly Hills Cop II,1987-05-18,1987,20000000,299965036,279965036,9.200336
97,Tron,1982-07-09,1982,17000000,33000000,16000000,16.574021
98,Gladiator,2000-05-01,2000,103000000,457640427,354640427,23.186667
99,All About My Mother,1999-04-19,1999,8272296,67872296,59600000,10.000915
